Darwin;macOS-11.1-x86_64-i386-64bit;85;59;50;50;50;49;49;49;54;59;56;58;50;49;53;49;61;48;62;47;48;53;53;49;53;47;47;47;48;50;47;47;48;55;48;50;56;47;47;46;47;47;57;46;47;47;47;47;47;47;47;47;46;47;46;46;47;47;47;48;53;50;48;48;114;50;127;120;50;76;53;56;51;48;47;48;48;47;47;47;47;47;46;47;48;48;47;81;55;47;47;47;46;47;46;47;47;52;47;52;47;47;47;48;49;48;72;86;60;49;46;46;46;46;46;46;46;47;47;47;50;47;48;46;48;92;51;48;47;62;47;47;47;46;46;56;50;46;73;67;49;47;47;47;47;47;46;47;47;49;47;104;68;92;48;46;75;56;48;51;69;51;47;47;46;47;46;47;48;46;47;46;46;46;46;51;60;44;44;45;45;44;44;45;45;45;44;44;45;44;45;45;44;44;45;45;46;46;45;50;45;45;45;46;45;45;46;45;45;46;45;48;48;45;46;46;46;47;46;46;46;46;48;44;46;46;45;45;46;45;45;46;46;45;45;46;46;46;47;46;45;45;45;45;45;45;44;44;44;45;45;45;45;44;46;44;45;50;45;45;46;45;44;46;46;45;45;46;45;46;45;46;46;47;45;45;45;45;46;46;46;45;45;46;45;45;45;46;45;46;46;45;45;46;45;45;44;45;46;50;45;45;45;45;47;45;45;45;45;45;45;44;49;44;45;44;45;44;45;45;44;45;44;45;45;46;45;60;46;46;46;45;47;50;46;44;46;46;47;47;45;69;56;51;47;45;45;45;126;48;47;45;46;46;45;45;46;45;45;46;46;46;45;46;45;46;45;45;45;45;45;45;45;46;46;46;46;45;45;45;45;45;59;43;43;44;44;44;46;52;45;44;45;44;45;44;46;44;45;52;46;47;45;59;45;52;44;44;44;45;44;45;45;45;44;45;50;44;46;50;45;163;78;135;57;45;44;44;45;44;45;46;62;45;44;87;56;46;47;46;47;48;44;45;44;63;45;45;46;44;43;43;46;45;45;59;42;43;42;43;43;43;43;42;42;42;43;42;42;43;43;43;43;43;43;42;43;43;42;42;48;42;42;42;42;44;96;46;43;43;42;42;68;50;43;42;42;42;42;48;44;43;42;43;42;42;43;43;43;43;44;43;44;43;43;43;44;43;47;43;42;42;42;42;42;43;42;43;42;42;43;43;43;42;42;42;42;43;43;43;43;43;43;43;43;45;44;43;43;44;55;46;44;44;45;45;45;45;120;99;73;65;45;43;42;41;42;94;47;43;44;43;43;43;43;43;44;43;45;48;43;43;42;42;41;41;41;41;43;41;42;41;42;41;41;42;41;41;41;46;42;42;41;42;42;42;41;41;42;42;42;43;44;44;43;43;73;43;41;43;42;105;102;46;47;65;56;41;46;41;43;87;43;88;45;42;71;61;70;103;73;142;119;107;67;71;115;79;87;78;91;46;43;42;42;41;42;41;41;41;41;42;42;42;42;41;41;41;44;42;42;41;41;41;41;41;50;81;43;42;41;41;41;51;50;54;43;41;44;42;41;44;59;69;42;40;96;52;50;50;50;42;41;41;41;83;45;46;42;48;41;41;41;66;66;65;57;43;42;42;44;41;52;42;41;41;44;43;44;41;43;43;43;45;42;64;44;41;41;41;75;74;44;106;85;47;122;46;43;42;42;43;44;46;72;64;100;124;46;43;43;48;62;43;42;42;41;41;95;52;44;44;60;43;41;42;42;41;41;41;40;41;41;41;40;54;78;46;41;44;41;40;41;40;41;40;41;42;40;46;42;45;50;42;41;42;42;42;66;44;52;41;41;41;41;41;77;44;42;41;41;41;49;42;41;41;52;46;41;47;64;83;85;44;43;42;41;72;94;116;115;78;70;97;93;43;41;42;91;65;43;42;42;42;42;41;43;41;41;41;41;43;41;42;62;43;41;41;41;41;40;40;41;40;41;40;41;41;91;44;41;40;41;41;40;50;40;40;41;40;41;58;48;42;41;41;41;40;41;45;41;41;41;42;41;41;41;41;41;42;41;41;41;41;41;42;41;40;41;42;41;41;42;40;42;41;42;44;43;41;43;40;40;40;40;40;39;40;40;40;40;40;42;40;41;40;40;40;40;40;39;40;40;41;41;42;41;41;40;41;41;41;48;42;85;43;42;40;45;40;47;40;41;40;40;40;40;40;40;44;40;39;39;39;40;39;40;40;39;39;40;40;40;62;42;41;40;40;40;44;41;
Linux;Linux-5.4.72-v7+-armv7l-with-debian-10.6;3733;3814;3670;3820;3705;3766;2448;2441;2554;2441;2441;2479;2446;2443;2443;2442;2442;2452;2441;2442;2444;2446;2443;2443;2444;2477;2442;2442;2608;2446;2442;2487;2443;2444;2315;1572;1571;1571;1591;1569;1570;1569;1572;1592;1569;1575;1568;1569;1575;1571;1570;1569;1593;1571;1571;1571;1569;1572;1571;1570;1570;1590;1570;1570;1569;1570;1573;1571;1572;1569;1633;1571;1569;1571;1569;1572;1569;1570;1571;1598;1571;1570;1570;1569;1598;1570;1569;1570;1630;1573;1570;1570;1570;1603;1571;1570;1569;1588;1569;1587;1572;1570;1573;1570;1570;1570;1588;1570;1570;1569;1570;1575;1569;1570;1569;1721;1572;1570;1570;1569;1572;1570;1576;1571;1596;1570;1569;1570;1569;1592;1570;1569;1569;1737;1587;1700;1577;1571;1573;1571;1571;1571;1593;1569;1650;1675;1695;1595;1571;1569;1569;1597;1569;1571;1570;1570;1572;1571;1569;1570;1644;1572;1570;1569;1570;1571;1570;1569;1570;1608;1571;1569;1569;1569;1571;1570;1570;1569;1589;1575;1570;1568;1570;1576;1569;1569;1569;1593;1569;1570;1713;1592;1574;1571;1569;1570;1590;1575;1568;1587;1620;1569;1570;1570;1570;1677;1571;1568;1570;1590;1569;1569;1570;1569;1592;1569;1569;1567;1569;1571;1571;1568;1571;1627;1569;1568;1570;1569;1571;1576;1569;1569;1587;1569;1569;1569;1570;1570;1569;1569;1570;1587;1571;1569;1570;1570;1586;1570;1574;1569;1587;1576;1570;1569;1569;1589;1569;1570;1569;1630;1570;1570;1568;1568;1588;1573;1569;1568;1617;1571;1569;1569;1567;1588;1569;1568;1568;1613;1569;1569;1567;1568;1585;1568;1568;1568;1567;1569;1568;1568;1568;1583;1568;1568;1568;1568;1621;1570;1568;1586;1616;1570;1568;1569;1656;1573;1568;1572;1568;1592;1570;1568;1568;1587;1567;1568;1569;1569;1663;1569;1567;1569;1569;1574;1568;1569;1568;1662;1572;1569;1574;1569;1572;1570;1570;1569;1618;1570;1569;1569;1569;1572;1570;1570;1569;1615;1570;1569;1568;1569;1580;1569;1569;1569;1638;1570;1569;1568;1574;1587;1569;1569;1569;1586;1569;1573;1569;1568;1588;1568;1567;1568;1585;1568;1569;1569;1569;1626;1570;1569;1568;1569;1569;1569;1569;1569;1597;1569;1569;1568;1568;1571;1570;1570;1569;1588;1568;1569;1570;1635;1570;1575;1568;1569;1589;1571;1570;1568;1586;1569;1569;1568;1567;1586;1576;1574;1569;1568;1571;1569;1569;1569;1587;1573;1570;1570;1569;1573;1567;1568;1569;1586;1570;1569;1569;1569;1574;1569;1569;1568;1588;1569;1568;1569;1568;1614;1567;1569;1568;1585;1568;1568;1569;1570;1590;1570;1568;1617;1594;1569;1567;1569;1570;1586;1568;1567;1568;1569;1571;1568;1567;1569;1631;1568;1572;1569;1569;1571;1568;1569;1567;1589;1569;1569;1568;1569;1571;1569;1567;1568;1586;1569;1569;1569;1568;1588;1568;1567;1568;1629;1570;1570;1569;1569;1570;1573;1569;1570;1586;1569;1571;1569;1569;1572;1569;1569;1569;1586;1570;1569;1568;1569;1583;1570;1570;1569;1587;1569;1569;1570;1574;1574;1569;1570;1569;1589;1569;1570;1569;1568;1616;1570;1569;1569;1585;1570;1570;1569;1568;1588;1568;1569;1569;1568;1570;1568;1569;1568;1585;1569;1568;1569;1568;1570;1570;1568;1568;1636;1570;1569;1568;1569;1572;1569;1568;1569;1588;1570;1568;1569;1568;1586;1568;1569;1568;1585;1569;1569;1568;1569;1588;1571;1568;1568;1594;1570;1568;1570;1568;1592;1570;1569;1568;1590;1568;1569;1567;1569;1571;1570;1569;1570;1587;1569;1568;1569;1569;1589;1569;1569;1569;1599;1570;1569;1568;1569;1587;1571;1567;1568;1585;1570;1569;1569;1567;1585;1569;1570;1567;1569;1570;1570;1569;1570;1587;1569;1736;1575;1768;1584;1570;1569;1570;1600;1569;1581;1570;1568;1570;1575;1572;1568;1638;1570;1570;1569;1568;1571;1568;1568;1572;1586;1569;1569;1896;1641;1572;1571;1569;1576;1630;1570;1570;1570;1596;1569;1568;1569;1569;1623;1568;1569;1569;1569;1570;1570;1568;1570;1614;1589;1570;1569;1613;1569;1570;1570;1568;1575;1569;1570;1568;1588;1569;1568;1569;1570;1589;1569;1568;1570;1585;1569;1568;1569;1568;1589;1568;1569;1569;1568;1570;1569;1569;1569;1587;1569;1569;1569;1570;1572;1569;1570;1569;1586;1569;1569;1569;1570;1572;1570;1567;1569;1587;1570;1569;1568;1569;1637;1569;1571;1569;1588;1572;1569;1568;1571;1587;1576;1570;1569;1586;1569;1570;1569;1569;1587;1576;1571;1570;1570;1570;1568;1569;1573;1587;1569;1569;1569;1568;1570;1570;1570;1570;1585;1570;1569;1570;1569;1572;1588;1570;1569;1615;1570;1569;1569;1588;1571;1570;1569;1569;1587;1570;1570;1569;1570;1574;1569;1569;1569;1588;1569;1568;1568;1568;1570;1568;1569;1570;1584;1569;1575;1568;1568;1571;1570;1569;1569;1586;1569;1568;1569;1569;1587;1571;1569;1571;1588;1571;1570;1569;1570;1633;1569;1568;1570;1599;1569;1570;1570;1569;1585;1570;1569;1570;1569;1570;1570;1569;1569;1595;1569;1569;1569;1570;1571;1570;1570;1568;1585;1569;1572;1569;1568;1585;1569;1569;1575;1590;1749;1575;1571;1569;1575;1571;1568;1569;1590;1570;1586;1569;1653;1570;1569;1569;1569;1590;1570;1569;1569;1650;1569;1569;1569;1568;1589;1569;1569;1568;1569;1570;1569;1570;1568;1587;1569;1570;1568;1569;1571;1570;1569;1569;1588;1569;1569;1569;1567;1570;1569;1569;1569;1585;1569;1569;1569;1569;1636;1570;1569;1568;1586;1569;1569;1570;1569;1585;1569;1570;1568;1569;1572;1569;1569;1569;1617;1570;1568;1568;1569;1569;1570;1569;1568;1604;1569;1568;1569;1569;1571;1569;1568;1569;1586;1571;1570;1579;1570;1590;1570;1568;1569;1786;1571;1569;1568;1568;1631;1568;1586;1575;
Linux;Linux-5.4.79-v7l+-armv7l-with-debian-10.6;2435;2114;2101;2098;2103;2098;2097;2140;2099;2096;2131;2096;2098;2095;2110;2097;2096;2139;2094;2095;2305;2102;898;839;838;838;837;839;838;838;837;840;838;837;838;859;838;838;837;841;838;838;840;837;839;839;837;837;840;838;839;837;854;838;838;838;837;837;837;840;850;837;836;838;838;838;838;838;839;863;838;837;837;837;838;839;836;855;838;838;837;837;838;837;839;837;838;837;838;838;837;837;837;837;852;838;838;838;837;853;840;840;866;839;839;842;839;838;838;839;838;841;838;839;838;839;839;839;838;853;839;841;841;837;838;838;837;851;839;838;838;838;839;840;839;838;852;838;838;838;840;837;838;837;855;839;839;838;837;838;837;838;837;839;838;837;838;838;839;838;837;852;838;839;837;837;838;837;838;841;839;838;838;838;838;837;838;838;852;838;838;839;838;837;839;838;860;842;838;837;837;839;837;838;837;856;838;840;837;849;840;839;838;866;838;838;838;838;841;838;838;854;839;838;837;837;838;838;837;838;840;837;837;837;838;838;837;838;854;842;838;837;839;837;838;837;838;838;838;838;838;837;838;837;837;853;837;838;838;837;837;837;838;850;837;838;837;837;837;838;837;837;852;837;838;839;838;837;838;838;851;838;840;837;837;837;838;837;839;853;839;839;838;838;837;837;838;850;838;837;838;837;838;837;837;839;839;838;837;850;840;839;838;838;842;842;838;837;839;837;838;838;851;839;839;839;838;838;838;837;842;839;838;838;838;837;838;838;837;852;838;837;838;837;837;837;837;853;838;838;837;837;838;837;838;838;852;838;839;839;839;838;837;836;851;838;837;838;838;838;838;838;838;852;838;837;838;838;838;837;837;851;837;837;837;836;837;837;838;838;839;837;839;838;837;837;837;837;851;837;838;837;838;837;837;838;837;839;837;848;839;841;839;838;839;841;839;838;838;838;838;838;838;853;838;839;839;838;839;838;838;838;838;839;838;837;838;837;837;838;851;837;837;837;837;837;837;837;851;838;837;837;838;837;838;837;837;853;837;837;838;838;837;838;839;851;837;838;842;838;838;837;838;837;839;838;838;838;839;838;837;837;850;838;839;838;838;838;838;838;838;838;838;840;838;837;839;839;838;851;838;838;841;837;838;837;837;850;838;848;840;839;839;837;838;838;839;838;837;838;838;838;837;837;853;837;838;839;841;839;838;838;856;839;838;838;837;838;837;838;838;857;837;839;838;838;837;838;838;851;838;839;838;837;838;838;839;838;840;837;837;838;837;838;837;838;851;838;838;837;837;837;837;838;838;838;837;838;838;837;838;838;837;853;838;836;838;837;837;838;837;850;838;837;837;837;838;837;838;838;853;837;837;838;840;838;837;838;852;848;841;840;839;838;838;838;859;838;839;838;839;837;840;838;837;882;839;839;838;838;838;837;838;860;839;838;839;838;838;839;837;838;839;838;839;837;838;838;838;837;853;839;838;837;838;838;837;837;840;839;837;838;838;838;839;837;837;852;839;837;837;838;838;840;837;850;839;838;838;838;838;838;838;838;852;844;840;838;837;838;838;838;852;838;838;838;839;838;839;838;838;838;838;837;837;837;837;837;837;851;839;838;837;838;838;839;839;851;838;838;837;838;838;838;838;838;839;838;838;838;838;838;839;838;852;838;838;838;837;838;837;837;849;838;837;838;839;838;838;838;837;852;838;837;837;837;838;838;838;850;838;837;838;837;839;837;837;837;850;837;838;836;838;837;837;837;851;845;840;839;838;838;838;840;838;838;837;837;837;837;838;837;838;851;838;837;838;837;837;838;837;838;839;838;838;837;838;837;837;848;842;838;838;837;838;837;838;838;853;842;839;838;837;838;838;838;838;838;838;838;837;837;839;838;837;850;838;838;838;836;837;837;837;850;838;838;837;836;838;837;838;838;861;838;838;838;838;837;837;836;851;837;837;837;838;838;838;838;837;839;837;838;837;837;838;836;838;850;838;836;845;838;838;837;838;838;843;838;840;839;838;838;839;839;856;838;838;838;839;839;842;838;850;838;838;838;837;838;837;847;860;840;838;838;838;837;839;838;838;854;839;838;839;837;838;838;838;851;840;838;837;838;838;838;838;837;839;838;838;837;837;838;838;838;851;839;837;837;838;838;838;837;837;839;837;837;838;838;837;837;838;852;837;837;837;837;837;838;838;838;839;837;836;837;838;837;837;837;851;837;837;838;838;836;838;837;849;838;837;837;837;838;838;837;837;851;843;839;838;838;837;837;837;851;838;837;838;838;837;847;840;
Darwin;macOS-11.1-x86_64-i386-64bit;154;57;57;71;69;68;70;66;68;60;79;82;90;143;124;115;111;72;69;72;78;71;77;79;72;112;63;61;65;66;63;66;66;48;92;50;49;54;48;47;47;58;47;46;47;48;47;47;48;47;47;47;48;61;50;48;47;48;49;48;90;65;49;47;48;73;52;48;48;47;47;75;51;48;48;47;47;48;47;47;47;46;47;47;48;47;47;47;49;53;48;48;48;48;47;48;47;47;48;64;50;49;48;83;50;48;52;52;55;53;53;53;48;48;115;51;48;47;47;47;46;47;50;55;50;46;46;47;46;108;50;48;50;47;49;50;55;65;63;82;87;67;84;131;60;88;57;64;52;53;47;48;47;48;48;48;48;48;48;47;47;48;48;47;47;47;47;149;106;127;47;46;46;46;46;45;45;44;44;45;72;54;56;56;56;55;57;58;50;66;64;60;61;70;72;69;64;58;60;83;63;65;73;74;71;61;79;62;68;56;52;44;44;45;44;44;44;45;44;45;47;46;44;43;44;44;43;42;44;42;42;43;43;43;108;48;44;46;51;70;92;46;60;44;43;47;43;77;59;74;61;44;43;43;42;42;43;43;46;70;44;43;44;61;53;45;47;50;51;44;43;45;45;45;98;139;129;111;49;43;48;43;42;43;43;42;43;43;44;44;44;45;42;44;43;44;44;43;44;88;46;47;43;42;45;48;47;46;74;71;47;47;50;50;46;49;60;61;70;65;67;62;282;48;63;76;101;49;72;74;44;45;43;44;44;43;45;43;43;44;48;44;43;43;43;44;44;50;48;47;47;45;48;43;44;43;43;44;44;43;43;42;42;43;43;73;65;52;50;49;49;51;50;50;45;64;61;58;62;63;60;61;61;56;71;55;54;55;53;58;53;54;52;52;54;53;56;52;52;78;182;43;40;40;68;41;40;41;41;41;41;41;41;40;40;40;41;40;40;39;39;38;39;39;40;39;40;39;39;40;39;41;39;40;39;39;39;39;40;39;39;39;42;39;39;39;40;40;43;39;42;42;42;39;38;38;39;38;38;39;40;39;39;39;38;38;155;81;55;89;63;39;38;38;81;45;38;41;40;39;38;80;47;38;38;37;39;37;37;38;54;36;36;37;36;36;36;36;37;40;37;38;36;120;114;43;37;39;120;53;66;52;67;73;48;52;53;64;68;102;146;86;58;49;65;77;59;61;49;77;69;43;56;52;51;66;49;47;45;46;89;42;39;38;56;37;38;39;40;40;38;37;39;37;43;37;36;37;38;37;36;56;81;39;37;36;36;37;36;37;36;37;36;36;36;36;45;37;37;36;37;42;47;49;49;63;54;47;50;47;43;65;60;57;56;63;62;58;62;73;53;52;57;55;60;60;56;60;61;61;56;57;56;59;62;60;43;40;39;38;51;38;38;38;38;39;38;38;39;74;39;37;38;37;38;37;37;37;41;38;38;37;37;37;37;36;37;54;36;36;37;51;42;46;36;41;38;39;41;37;37;36;37;42;44;43;41;39;41;37;36;37;60;44;38;37;36;36;37;36;36;37;36;36;36;36;36;36;37;37;36;36;36;36;36;36;36;53;36;39;36;36;35;36;36;36;35;35;35;35;36;35;35;36;36;36;35;41;35;36;36;44;82;39;36;35;35;35;36;35;68;69;57;38;36;39;37;36;37;43;48;47;69;41;36;37;45;36;38;41;35;35;37;36;38;38;42;42;36;36;61;45;41;36;36;36;36;37;36;36;36;36;47;36;35;35;36;36;36;37;36;37;35;35;35;36;36;35;35;36;35;40;74;42;42;43;43;48;49;41;38;41;42;45;44;43;44;42;42;42;44;40;48;52;52;50;52;55;50;48;47;48;48;52;44;48;47;47;47;48;48;46;48;46;49;54;55;58;49;54;47;48;47;49;49;44;49;48;48;47;35;36;39;42;42;46;56;55;51;107;43;37;36;35;35;35;36;36;36;41;36;36;37;37;36;36;36;36;78;38;96;41;37;36;36;42;36;36;36;35;57;38;36;36;36;36;36;36;35;40;35;36;35;35;35;36;35;35;35;36;35;36;36;36;36;36;36;35;36;60;50;35;43;67;78;96;118;124;44;38;37;37;36;36;36;36;36;36;35;53;37;37;37;37;37;37;36;38;36;37;37;36;36;37;37;38;37;36;36;36;36;45;58;53;39;35;35;35;37;56;57;56;42;35;36;35;35;35;37;40;85;51;38;46;44;39;37;44;37;44;36;36;36;39;42;38;40;39;46;97;40;
